Membership No  Date Joined  Active  
    46543      2017-7-10    no    
    35422      2020-6-24    yes   
    29312      2018-8-2     yes   
    35333      2016-9-18    yes   
    62512      2015-9-11    no    
    75346      2020-1-23    no    
    12435      2016-11-16   no    
    35488      2017-6-23    yes   
    69180      2019-8-2     no    
    55230      2020-9-25    yes   
    16127      2016-6-11    no    
    45315      2019-2-11    yes   
    51753      2018-2-5     no    
    28251      2017-7-21    yes   
    55163      2019-1-6     yes   
    57617      2016-10-4    no    
    80811      2018-3-15    no    
    16123      2017-3-2     no    
    67882      2016-3-23    yes   
    12322      2020-12-24   yes   
